"ID","SexEstimate","BirthYear","MumID"
 462, 0, 1992,
 463,, 1993,
 464, 0, 1992,
 465, 1, 1992,
 466, 0, 1993,
 467, 1, 1992,
 468, 0, 1992,
 469, 0, 1992,
 470, 1, 1992,
 471, 0, 1992,
 472, 0, 1992,
 473, 1, 1992,
 474, 0, 1992,
 475, 1, 1992,
 476, 0, 1992,
 477, 1, 1992,
 478, 1, 1992,
 479, 0, 1992,
 480, 1, 1993,
 481, 0, 1993,
 482, 1, 1992,
 483, 1, 1992,
 484, 0, 1992,
 485, 0, 1992,
 486, 0, 1992,
 487, 0, 1993,
 488, 0, 1992,
 489, 0, 1992,
 490, 1, 1993,
 491, 1, 1993,
 492, 0, 1993,
 493, 1, 1992,
 494, 1, 1990,
 495, 1, 1993,
 496, 0, 1993,
 497, 1, 1993,
 498, 1, 1993,
 499, 1, 1993,
 500, 0, 1991,
 501, 1, 1994,
 502, 0, 1993,
 503, 0, 1993,
 504, 0, 1993,
 505, 0, 1993,
 506, 1, 1993,
 507, 1, 1993,
 508, 0, 1993,
 509, 1, 1993,
 510, 1, 1993,
 511, 0, 1993,
 512, 1, 1993,
 513,, 1993,
 514, 1, 1992,
 515, 0, 1994,
 516, 1, 1993,
 517,, 1993,
 518,, 1994,
 519, 0, 1993,
 520,, 1994,
 521, 0, 1994,
 522, 0, 1993,
 523, 1, 1993,
 524, 0, 1993,
 525, 1, 1993,
 526, 1, 1994,
 527, 0, 1994,
 528, 0, 1993,
 529, 0, 1993,
 530, 0, 1993,
 531, 0, 1993,
 532,, 1994,
 533, 1, 1994,
 534, 1, 1993,
 535, 0, 1993,
 536, 1, 1993,
 537,, 1993,
 538,, 1993,
 539, 1, 1993,
 540, 1, 1993,
 541, 0, 1993,
 542, 0, 1993,
 543, 0, 1993,
 544, 1, 1993,
 545, 1, 1993,
 546, 1, 1993,
 547, 1, 1993,
 548, 0, 1993,
 549, 1, 1993,
 550, 1, 1993,
 551, 0, 1993,
