"id","mum","dad","p","FPID","O_Terr"
1521,"826","1213",0.998,28,33.1
1522,"1409","1209",1,28,11
1523,"949","557",1,28,41
1524,"938","1028",1,28,95
1525,"1432","922",1,28,3.1
1526,"504","497",1,28,3.1
1527,"1403","849",0.998,28,69
1528,"1304","668",1,28,97.1
1529,"1403","849",1,28,69
1530,"1410","436",1,28,51
1531,"949","557",1,28,41
1532,"596","911",1,28,5
1533,"677","1028",1,28,95
1534,"853","865",1,25,54
1535,"168","1018",1,28,60
1536,"1017","1018",1,28,77
1537,"825","1286",1,28,24
1538,"459","607",0.903,28,39
1539,"459","176",0.855,28,39
1540,"869","1178",0.994,28,46.2
1541,"459","1290",1,28,39
1542,"1022","1199",0.998,28,75
1543,"199","609",1,27,30.1
1544,"441","1165",0.993,28,28
1545,"1432","1187",0.966,28,3.1
1546,"596","497",1,28,5
1547,"1024","676",1,28,87
1548,"1024","676",1,28,87
1549,"1042","176",1,28,46
1550,"1218","886",1,28,27
1551,"869","1178",0.998,28,46.2
1552,"1369","1032",1,28,43
1553,"604","1274",1,28,33
1554,"932","1274",0.979,28,37
1555,"199","609",1,28,30.1
1556,"1369","1032",1,28,43
1557,"604","921",1,28,33
1558,"466","51",1,28,35
1559,"458","499",1,28,9
1560,"823","499",1,28,8
1561,"1386","216",0.999,28,34
1562,"522","629",1,28,58
1563,"450","634",1,27,57
1564,"297","634",1,28,80
1565,"441","1167",1,28,28
1566,"1160","1179",0.978,28,78
1567,NA,"1164",0.434,27,25
1568,"663","1154",1,28,88.1
1569,NA,"1198",1,26,108
1570,"627","467",0.998,28,88.1
1571,"1042","176",0.992,39,46
1572,"1369","1032",1,39,43
1573,"476","917",0.517,39,68
1574,"308","921",1,39,37
1575,"1186","1188",1,39,50.1
1576,"859","929",1,39,10
1577,"308","1274",1,39,37
1578,"862","917",1,39,60.1
1579,"1170","1063",1,39,64
1580,"1403","525",1,39,69
1581,"1161","525",1,39,67
1582,"1161","849",1,39,67
1583,"951","1196",1,39,59.1
1584,"848","1370",0.999,28,36
1585,"595","495",1,39,6
1586,"503","1214",1,39,25
1587,NA,"1191",0.42,28,96
1588,"1382","847",1,39,94
1589,"1382","847",1,39,94
1590,"826","1274",1,39,33.1
1591,"1059","1020",0.997,39,18
1592,"853","629",0.998,39,54
1593,"1017","1018",0.986,39,77
1594,"1415","1165",1,39,28
1595,"1271","1395",1,39,111
1596,"168","1045",1,39,60
1597,"774","1198",1,39,82
1598,"1195","1279",1,39,63
1599,"1501","890",0.998,39,22
1600,"524","865",1,39,114
1601,"925","1287",1,39,2
1602,"912","1187",0.999,39,1
1603,NA,NA,0.518,39,3.2
1604,"1247","494",1,39,17
1605,"1222","494",1,39,29
1606,"595","495",1,39,6
1607,"1222","494",1,40,29
1608,"1247","494",1,39,17
1609,"1177","1395",1,40,109
1610,"1170","917",1,39,64
1611,"639","1028",1,39,101.1
1612,"949","557",1,39,41
1613,"845","1276",1,40,93
1614,"912","1348",1,40,1
1615,"1130","1356",1,39,55
1616,"1384","1370",1,39,36
1617,"858","1063",1,39,62
1618,"832","1435",0.999,40,56
1619,"1436","1381",1,40,97.1
1620,"823","1268",1,40,8
1621,"1017","1018",1,40,77
1622,"1193","602",0.999,40,48
1623,"840","497",1,40,15
1624,NA,"1495",0.647,40,48
1660,"1605","497",1,41,5
1661,"840","911",0.995,41,15
1662,"1771","1187",1,41,3.1
1663,"1490","1031",1,40,51.1
1664,"1490","1031",1,40,51.1
1665,"1059","494",1,40,18
1666,NA,"1040",0.547,40,28.1
1667,"1218","1542",1,40,27
1668,"826","1213",0.999,41,33.1
1669,"1503","1209",1,40,23
1670,NA,"453",0.575,40,39
1671,"459","1670",1,41,39
1672,"1043",NA,0.635,40,108
1673,"1409","1543",1,40,11
1674,NA,"1209",0.633,40,30.2
1675,"1589","929",1,41,10
1676,NA,"1577",0.678,40,32
1677,"1588","1587",1,40,92.1
1678,"1588","1581",1,41,92.1
1679,"1588","1581",1,41,92.1
1680,"845","1276",1,41,93
1681,"845","1276",1,40,93
1682,"869","1188",1,40,48
1683,"1271","1593",1,40,111
1684,"927","501",1,39,1.1
1685,"1049",NA,0.664,41,81
1695,NA,"1577",0.326,40,32.5
1696,"1384","1557",0.997,41,36
1697,"1384","1370",1,40,36
1698,"1552","1504",1,40,38
1699,"1552","1504",1,40,38
1700,"1508","865",1,40,54
1701,"595","497",0.996,40,6
1702,"1771","911",1,41,3.1
1703,"1244","1213",0.99,41,50
1704,"951","1196",1,41,59.1
1705,"912","1348",1,41,1
1706,"1186","1221",1,40,50.1
1707,"1558","1441",0.708,40,46.5
1708,"1438",NA,0.602,40,66
